,Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Contract Date,Property Type,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Land Lease Expiry,Normalized Price,longitude,latitude
1832,CENTRIUM SQUARE,320 Serangoon Road #02 -05,51,Strata,2167300,42496,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1833,CENTRIUM SQUARE,320 Serangoon Road #01 -14,16,Strata,1073400,67088,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1834,CENTRIUM SQUARE,320 Serangoon Road #02 -08,51,Strata,2167300,42496,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1835,CENTRIUM SQUARE,320 Serangoon Road #01 -05,71,Strata,4866300,68539,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.875314006629,1.38718725573372
1836,CENTRIUM SQUARE,320 Serangoon Road #02 -10,26,Strata,1138600,43792,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1837,INTERNATIONAL PLAZA,10 Anson Road #17 -14,92,Strata,1610000,17500,16-Jun-16,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,-1,-1
1838,CENTRIUM SQUARE,320 Serangoon Road #01 -06,35,Strata,2472700,70649,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1839,CHINATOWN POINT,"133 New Bridge Road #20 -09,10",223,Strata,4512000,20233,16-Jun-16,Office,Resale,1,5,59413,Central Region,Outram,2079,,103.855128248182,1.31089355522205
1840,CENTRIUM SQUARE,320 Serangoon Road #02 -06,26,Strata,1138600,43792,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1841,CENTRIUM SQUARE,320 Serangoon Road #02 -23,16,Strata,665600,41600,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1842,CENTRIUM SQUARE,320 Serangoon Road #02 -11,37,Strata,1620800,43805,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1843,CENTRIUM SQUARE,320 Serangoon Road #02 -02,50,Strata,2124500,42490,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1844,CENTRIUM SQUARE,320 Serangoon Road #02 -14,537,Strata,19998800,37242,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.744574631833,1.33015172071474
1845,CENTRIUM SQUARE,320 Serangoon Road #01 -23,36,Strata,2289300,63592,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1846,VISION EXCHANGE,2 Venture Drive #16 -12,71,Strata,1793000,25254,16-Jun-16,Office,New Sale,22,60,608526,West Region,Jurong East,2112,,103.855128248182,1.31089355522205
1847,CENTRIUM SQUARE,320 Serangoon Road #01 -19,18,Strata,1207500,67083,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1848,CENTRIUM SQUARE,320 Serangoon Road #01 -08,71,Strata,4866300,68539,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1849,CENTRIUM SQUARE,320 Serangoon Road #02 -22,17,Strata,707500,41618,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1850,CENTRIUM SQUARE,320 Serangoon Road #01 -07,35,Strata,2472700,70649,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1851,CENTRIUM SQUARE,320 Serangoon Road #02 -21,18,Strata,748500,41583,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1852,CENTRIUM SQUARE,320 Serangoon Road #02 -19,21,Strata,873200,41581,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1853,CENTRIUM SQUARE,320 Serangoon Road #01 -03,38,Strata,2685000,70658,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1854,CENTRIUM SQUARE,320 Serangoon Road #01 -26,126,Strata,7546600,59894,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1855,CENTRIUM SQUARE,320 Serangoon Road #01 -15,15,Strata,1006400,67093,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1856,CENTRIUM SQUARE,320 Serangoon Road #01 -22,14,Strata,939300,67093,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1857,CENTRIUM SQUARE,320 Serangoon Road #02 -17,20,Strata,832300,41615,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1858,CENTRIUM SQUARE,320 Serangoon Road #01 -16,15,Strata,1006400,67093,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1859,CENTRIUM SQUARE,320 Serangoon Road #02 -16,25,Strata,1039900,41596,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1860,CENTRIUM SQUARE,320 Serangoon Road #02 -13,31,Strata,1357300,43784,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1861,CENTRIUM SQUARE,320 Serangoon Road #01 -04,35,Strata,2472700,70649,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1862,CENTRIUM SQUARE,320 Serangoon Road #02 -18,20,Strata,832300,41615,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,-1,-1
1863,CENTRIUM SQUARE,320 Serangoon Road #02 -12,32,Strata,1401100,43784,16-Jun-16,Retail,New Sale,8,21,218108,Central Region,Kallang,99999,,103.856405090456,1.29858933947066
1864,TANJONG PAGAR CONSERVATION AREA,"41,41A,41B Neil Road",132,Land,6500000,49355,10-Jun-16,Shop House,Resale,2,8,88824,Central Region,Outram,2088,,103.864297958594,1.30603656312735
1865,HERITAGE PLACE,21 Tan Quee Lan Street #02 -08,75,Strata,1400000,18667,10-Jun-16,Office,Resale,7,18,188108,Central Region,Downtown Core,2826,,103.865163649543,1.30275121635194
1866,SOUTHBANK,883 North Bridge Road #11 -05,148,Strata,2200000,14865,10-Jun-16,Office,Resale,7,19,198785,Central Region,Kallang,2105,,103.887207500102,1.36147765901138
1867,GOLDEN MILE COMPLEX,5001 Beach Road #07 -40,21,Strata,250000,11905,10-Jun-16,Office,Resale,7,19,199588,Central Region,Kallang,2068,,103.855128248182,1.31089355522205
1868,STARS OF KOVAN,988 Upper Serangoon Road #01 -26,20,Strata,1176000,58800,10-Jun-16,Retail,New Sale,19,53,534733,North East Region,Hougang,2114,,103.833792932243,1.30717698071191
1869,CENTRIUM SQUARE,320 Serangoon Road #12 -07,57,Strata,1610200,28249,9-Jun-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.852932139842,1.30788874853998
1870,FAR EAST PLAZA,14 Scotts Road #04 -08,125,Strata,3000000,24000,9-Jun-16,Retail,Resale,9,22,228213,Central Region,Orchard,99999,,103.871162880134,1.36276185579701
1871,N.A.,154 Serangoon Road,103,Land,6650000,64500,8-Jun-16,Shop House,Resale,8,21,218044,Central Region,Rochor,99999,,103.875314006629,1.38718725573372
1872,N.A.,"67,67A Brighton Crescent",111,Land,2350000,21248,7-Jun-16,Shop House,Resale,19,55,559212,North East Region,Serangoon,99999,,103.855128248182,1.31089355522205
1873,INTERNATIONAL PLAZA,10 Anson Road #22 -11,87,Strata,2199600,25283,7-Jun-16,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.84166098599,1.43312283983182
1874,CENTRIUM SQUARE,320 Serangoon Road #09 -04,80,Strata,2172800,27160,6-Jun-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.854661432233,1.30377219987196
1875,JUNCTION NINE,18 Yishun Avenue 9 #02 -48,24,Strata,793000,33042,6-Jun-16,Retail,New Sale,27,76,768897,North Region,Yishun,2112,,103.790000677857,1.3017332215462
1876,SIM LIM TOWER,10 Jalan Besar #02 -10,38,Strata,1150000,30263,3-Jun-16,Retail,Resale,8,20,208787,Central Region,Rochor,99999,,103.855128248182,1.31089355522205
1877,ONE-NORTH RESIDENCES,9 One-North Gateway #01 -47,31,Strata,762000,24581,2-Jun-16,Retail,Resale,5,13,138643,Central Region,Queenstown,2104,,-1,-1
1878,CENTRIUM SQUARE,320 Serangoon Road #09 -01,92,Strata,2424700,26355,1-Jun-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1879,TELOK AYER CONSERVATION AREA,10 Stanley Street,133,Land,9280000,70038,1-Jun-16,Shop House,Resale,1,6,68729,Central Region,Outram,99999,,103.855128248182,1.31089355522205
1880,CENTRIUM SQUARE,320 Serangoon Road #10 -06,57,Strata,1580300,27725,1-Jun-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1881,CENTRIUM SQUARE,320 Serangoon Road #09 -13,94,Strata,2478500,26367,1-Jun-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1882,CENTRIUM SQUARE,320 Serangoon Road #09 -02,67,Strata,1819300,27154,1-Jun-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.840813247609,1.28703443823015
1883,CENTRIUM SQUARE,320 Serangoon Road #09 -06,57,Strata,1500000,26316,31-May-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.904203116447,1.30457354662019
1884,MANHATTAN HOUSE,151 Chin Swee Road #13 -03,48,Strata,688000,14333,31-May-16,Office,Resale,3,16,169876,Central Region,Outram,2068,,103.746025843729,1.40002893292858
1885,THE FLOW,"66 East Coast Road #03 -12,13",144,Strata,4612800,32033,31-May-16,Retail,New Sale,15,42,428778,Central Region,Marine Parade,99999,,103.851184244325,1.29118501249664
1886,SBF CENTER,160 Robinson Road #23 -07,123,Strata,3707200,30140,31-May-16,Office,New Sale,1,6,68914,Central Region,Downtown Core,2110,,103.856337009999,1.29831184767397
1887,THE ADELPHI,1 Coleman Street #09 -09,139,Strata,3210000,23094,30-May-16,Office,Resale,6,17,179803,Central Region,Downtown Core,2827,,103.887207500102,1.36147765901138
1888,N.A.,"28,28A,28B Liang Seah Street",102,Land,7000000,68830,30-May-16,Shop House,Resale,7,18,189049,Central Region,Downtown Core,2826,,103.765281975403,1.33568622948333
1889,STARS OF KOVAN,988 Upper Serangoon Road #01 -20,20,Strata,1116250,55813,30-May-16,Retail,New Sale,19,53,534733,North East Region,Hougang,2114,,-1,-1
1890,THE CENTRAL,6 Eu Tong Sen Street #08 -07,59,Strata,1380000,23390,30-May-16,Office,Resale,1,5,59817,Central Region,Singapore River,2100,,103.878329825749,1.35469895424799
1891,CROWN AT ROBINSON,140 Robinson Road #10 -08,86,Strata,3080000,35814,27-May-16,Office,New Sale,1,6,68907,Central Region,Downtown Core,99999,,103.875314006629,1.38718725573372
1892,SPAZIO @ KOVAN,767 Upper Serangoon Road #02 -08,48,Strata,1468000,30583,27-May-16,Retail,New Sale,19,53,534635,North East Region,Hougang,99999,,103.82921413868,1.30697796554332
1893,INTERNATIONAL PLAZA,10 Anson Road #17 -11,127,Strata,2100000,16535,27-May-16,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.860828918228,1.29977475328951
1894,ORCHARD TOWERS,400 Orchard Road #B1 -08,24,Strata,1000000,41667,27-May-16,Retail,Resale,9,23,238875,Central Region,Orchard,99999,,103.852447340313,1.32052452836712
1895,THE PLAZA,"7500A Beach Road #15 -316,317",111,Strata,1812500,16329,25-May-16,Retail,Resale,7,19,199591,Central Region,Kallang,2067,,-1,-1
1896,THE MEZZO,205 Balestier Road #02 -03,54,Strata,1060000,19630,25-May-16,Office,Resale,12,32,329682,Central Region,Novena,99999,,-1,-1
1897,SUNTEC CITY,"7 Temasek Boulevard #11 -04,05",409,Strata,9240000,22592,25-May-16,Office,Resale,1,3,38987,Central Region,Downtown Core,2088,,103.889462301553,1.31478583463303
1898,SHENTON HOUSE,3 Shenton Way #02 -12,66,Strata,1440000,21818,24-May-16,Retail,Resale,1,6,68805,Central Region,Downtown Core,2068,,103.849358869172,1.29045407468311
1899,TEAMBUILD CENTRE,701 Geylang Road #02 -02,118,Strata,760000,6441,24-May-16,Office,Resale,14,38,389687,Central Region,Geylang,2100,,103.862331661034,1.30231590504577
1900,HIGH STREET PLAZA,77 High Street #09 -11,40,Strata,950000,23750,24-May-16,Office,Resale,6,17,179433,Central Region,Downtown Core,2826,,103.845617912604,1.32673457590716
1901,CITY GATE,371 Beach Road #B1 -41,38,Strata,1185000,31184,24-May-16,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.860828918228,1.29977475328951
1902,N.A.,532 Balestier Road,226,Land,4050000,17952,20-May-16,Shop House,Resale,12,32,329859,Central Region,Novena,99999,,103.855128248182,1.31089355522205
1903,THE PLAZA,7500A Beach Road #02 -348,14,Strata,318000,22714,19-May-16,Office,Resale,7,19,199591,Central Region,Kallang,2067,,103.757451263299,1.31641321892514
1904,CENTRIUM SQUARE,320 Serangoon Road #09 -10,53,Strata,1452200,27400,19-May-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1905,NEWEST,1 West Coast Drive #01 -22,64,Strata,2337153,36518,19-May-16,Retail,New Sale,5,12,128020,West Region,Clementi,2884,,103.855128248182,1.31089355522205
1906,CENTRIUM SQUARE,320 Serangoon Road #09 -09,80,Strata,2172800,27160,19-May-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.875314006629,1.38718725573372
1907,CENTRIUM SQUARE,320 Serangoon Road #09 -11,66,Strata,1792000,27152,19-May-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.911298335327,1.31853119632696
1908,INTERNATIONAL PLAZA,10 Anson Road #27 -13,92,Strata,1860000,20217,19-May-16,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.903829896975,1.30796008975425
1909,THE LENOX,398 Changi Road #01 -01,52,Strata,1400000,26923,18-May-16,Retail,Resale,14,41,419845,East Region,Bedok,99999,,103.82430573332,1.44936138498998
1910,THE MODULES,387 Joo Chiat Road #01 -13,50,Strata,720000,14400,18-May-16,Office,Resale,15,42,427623,Central Region,Marine Parade,99999,,103.840813247609,1.28703443823015
1911,KRETA AYER CONSERVATION AREA,32 Upper Cross Street,111,Land,7500000,67812,17-May-16,Shop House,Resale,1,5,58339,Central Region,Outram,99999,,-1,-1
1912,MANHATTAN HOUSE,151 Chin Swee Road #13 -08,48,Strata,605000,12604,17-May-16,Office,Resale,3,16,169876,Central Region,Outram,2068,,103.902443640278,1.31672325925552
1913,N.A.,6 Raffles Quay #13 -00,941,Strata,28000000,29756,17-May-16,Office,Resale,1,4,48580,Central Region,Downtown Core,99999,,103.880368117228,1.31250268728
1914,HEXACUBE,160 Changi Road #03 -08,73,Strata,1499958,20547,17-May-16,Office,New Sale,14,41,419728,Central Region,Geylang,99999,,103.878329825749,1.35469895424799
1915,LE REGAL,340 Geylang Road #01 -20,15,Strata,610000,40667,13-May-16,Retail,Resale,14,38,389365,Central Region,Geylang,99999,,103.833961913093,1.30450609984441
1916,SPAZIO @ KOVAN,767 Upper Serangoon Road #02 -01,66,Strata,2095000,31742,13-May-16,Retail,Sub Sale,19,53,534635,North East Region,Hougang,99999,,103.855128248182,1.31089355522205
1917,LUCKY PLAZA,304 Orchard Road #04 -81,31,Strata,2408000,77677,12-May-16,Retail,Resale,9,23,238863,Central Region,Orchard,99999,,103.854497441286,1.30151284603753
1918,CENTRIUM SQUARE,320 Serangoon Road #10 -10,53,Strata,1437100,27115,12-May-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.862331661034,1.30231590504577
1919,FU LU SHOU COMPLEX,149 Rochor Road #02 -17,50,Strata,1880000,37600,12-May-16,Retail,Resale,7,18,188425,Central Region,Rochor,2079,,103.84166098599,1.43312283983182
1920,CITY GATE,371 Beach Road #01 -20,36,Strata,1700000,47222,11-May-16,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.875314006629,1.38718725573372
1921,JUNCTION NINE,18 Yishun Avenue 9 #01 -23,95,Strata,3950000,41579,11-May-16,Retail,Sub Sale,27,76,768897,North Region,Yishun,2112,,103.833792932243,1.30717698071191
1922,INTERNATIONAL PLAZA,10 Anson Road #27 -17,38,Strata,770000,20263,10-May-16,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.887216149582,1.33637945097049
1923,FAR EAST PLAZA,14 Scotts Road #05 -124,36,Strata,2180000,60556,9-May-16,Retail,Resale,9,22,228213,Central Region,Orchard,99999,,103.878329825749,1.35469895424799
1924,TAI SENG POINT,11 Irving Place #01 -05,27,Strata,1384140,51455,9-May-16,Retail,New Sale,13,36,369551,Central Region,Toa Payoh,99999,,103.8891200224,1.31645676720005
1925,SPAZIO @ KOVAN,767 Upper Serangoon Road #02 -02,61,Strata,1900000,31148,9-May-16,Retail,New Sale,19,53,534635,North East Region,Hougang,99999,,103.838659721146,1.30178753401546
1926,N.A.,517-529 (ODD) Sims Avenue,787,Land,9200000,11694,6-May-16,Shop House,Resale,14,38,387577,Central Region,Geylang,99999,,103.865163649543,1.30275121635194
1927,MIDPOINT ORCHARD,"220 Orchard Road #B1 -10,11",246,Strata,13666666,55556,6-May-16,Retail,Resale,9,23,238852,Central Region,Orchard,99999,,-1,-1
1928,GOLDEN MILE COMPLEX,5001 Beach Road #08 -04,86,Strata,815000,9477,6-May-16,Office,Resale,7,19,199588,Central Region,Kallang,2068,,103.893472115119,1.31478689719772
1929,N.A.,9 Ann Siang Road,104,Land,10800000,103647,5-May-16,Shop House,Resale,1,6,69690,Central Region,Outram,2826,,103.840813247609,1.28703443823015
1930,CITY PLAZA,810 Geylang Road #01 -119,36,Strata,880000,24444,4-May-16,Retail,Resale,14,40,409286,Central Region,Geylang,99999,,103.844160737673,1.32070490289998
1931,MANHATTAN HOUSE,"151 Chin Swee Road #10 -02,04",85,Strata,1000000,11765,4-May-16,Office,Resale,3,16,169876,Central Region,Outram,2068,,103.855128248182,1.31089355522205
1932,SQUARE 2,10 Sinaran Drive #09 -32,65,Strata,2220000,34154,3-May-16,Retail,Resale,11,30,307506,Central Region,Novena,2101,,103.771451483856,1.33491922799918
1933,CENTRIUM SQUARE,320 Serangoon Road #10 -02,67,Strata,1800200,26869,29-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.767633914622,1.336212112017
1934,THE CENTRAL,12 Eu Tong Sen Street #07 -166,59,Strata,1523000,25814,29-Apr-16,Office,Resale,1,5,59819,Central Region,Singapore River,2100,,103.875314006629,1.38718725573372
1935,FURAMA CITY CENTRE SINGAPORE,60 Eu Tong Sen Street #01 -12,36,Strata,890000,24722,29-Apr-16,Retail,Resale,1,5,59804,Central Region,Outram,2078,,103.849820399999,1.29201593006906
1936,INTERNATIONAL PLAZA,10 Anson Road #16 -09,219,Strata,3730000,17032,29-Apr-16,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.835415866944,1.35291312443485
1937,PENINSULA EXCELSIOR HOTEL,5 Coleman Street #B1 -18,48,Strata,818000,17042,29-Apr-16,Office,Resale,6,17,179805,Central Region,Downtown Core,2078,,103.859550651117,1.30094635034037
1938,THOMSON GARDEN ESTATE,"220,220A Upper Thomson Road",380,Land,6500000,17096,29-Apr-16,Shop House,Resale,20,57,574352,Central Region,Bishan,99999,,103.776539385406,1.34241264188644
1939,KAMPONG GLAM CONSERVATION AREA,56 Arab Street,148,Land,2450000,16521,29-Apr-16,Shop House,Resale,7,19,199753,Central Region,Rochor,2040,,-1,-1
1940,BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road #01 -26,28,Strata,900000,32143,29-Apr-16,Retail,Resale,21,58,588177,Central Region,Bukit Timah,2078,,-1,-1
1941,N.A.,71 Neil Road,252,Land,13000000,51690,28-Apr-16,Shop House,Resale,2,8,88900,Central Region,Outram,2088,,103.833961913093,1.30450609984441
1942,N.A.,"18,18A,18B Gemmill Lane",147,Land,11000000,74881,28-Apr-16,Shop House,Resale,1,6,69255,Central Region,Outram,2095,,103.892580778514,1.31881487007652
1943,LUCKY PLAZA,304 Orchard Road #02 -60,36,Strata,2688000,74667,28-Apr-16,Retail,Resale,9,23,238863,Central Region,Orchard,99999,,103.892580778514,1.31881487007652
1944,PAYA LEBAR SQUARE,60 Paya Lebar Road #05 -42,47,Strata,906542,19288,28-Apr-16,Office,Resale,14,40,409051,Central Region,Geylang,2110,,103.905279491524,1.30106975506311
1945,PAYA LEBAR SQUARE,60 Paya Lebar Road #05 -56,50,Strata,1000000,20000,28-Apr-16,Office,Resale,14,40,409051,Central Region,Geylang,2110,,103.746025843729,1.40002893292858
1946,PARKWAY PARADE,80 Marine Parade Road #14 -06,86,Strata,1310000,15233,26-Apr-16,Office,Resale,15,44,449269,Central Region,Marine Parade,2078,,-1,-1
1947,SBF CENTER,160 Robinson Road #21 -08,58,Strata,1719200,29641,26-Apr-16,Office,Sub Sale,1,6,68914,Central Region,Downtown Core,2110,,103.855128248182,1.31089355522205
1948,GSH PLAZA,20 Cecil Street #07 -01,58,Strata,2147576,37027,25-Apr-16,Office,New Sale,1,4,49705,Central Region,Downtown Core,2088,,103.855128248182,1.31089355522205
1949,CENTRIUM SQUARE,320 Serangoon Road #10 -07,57,Strata,1548400,27165,25-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.846876956263,1.32636799190904
1950,CENTRIUM SQUARE,320 Serangoon Road #09 -07,57,Strata,1533300,26900,25-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1951,N.A.,505 Balestier Road,184,Land,3428000,18641,25-Apr-16,Shop House,Resale,12,32,329846,Central Region,Novena,99999,,103.757451263299,1.31641321892514
1952,CENTRIUM SQUARE,320 Serangoon Road #09 -12,91,Strata,2304372,25323,22-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,-1,-1
1953,NEWEST,1 West Coast Drive #01 -07,63,Strata,1898000,30127,22-Apr-16,Retail,New Sale,5,12,128020,West Region,Clementi,2884,,103.855128248182,1.31089355522205
1954,PEOPLE~S PARK CENTRE,101 Upper Cross Street #07 -11,56,Strata,783000,13982,22-Apr-16,Office,Resale,1,5,58357,Central Region,Outram,2069,,103.778600077834,1.33875930729067
1955,CENTRIUM SQUARE,320 Serangoon Road #09 -03,53,Strata,1422900,26847,22-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.778600077834,1.33875930729067
1956,BUKIT TIMAH PLAZA,1 Jalan Anak Bukit #01 -K33,14,Strata,450000,32143,22-Apr-16,Retail,Resale,21,58,588996,Central Region,Bukit Timah,2075,,103.855128248182,1.31089355522205
1957,BUKIT TIMAH PLAZA,1 Jalan Anak Bukit #B1 -47,143,Strata,2800000,19580,22-Apr-16,Retail,Resale,21,58,588996,Central Region,Bukit Timah,2075,,103.849641821673,1.29402130654292
1958,CENTRIUM SQUARE,320 Serangoon Road #11 -08,57,Strata,1563400,27428,21-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1959,N.A.,36 Armenian Street #03 -06,89,Strata,2850000,32022,21-Apr-16,Office,Resale,6,17,179934,Central Region,Museum,2106,,103.855128248182,1.31089355522205
1960,CENTRIUM SQUARE,320 Serangoon Road #09 -08,57,Strata,1533300,26900,21-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.834827438988,1.30394539797602
1961,CENTRIUM SQUARE,320 Serangoon Road #11 -04,80,Strata,2170700,27134,20-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1962,TONG BUILDING,"302 Orchard Road #13 -01,02,03,04",638,Strata,25500000,39969,20-Apr-16,Office,Resale,9,23,238862,Central Region,Orchard,99999,,103.855128248182,1.31089355522205
1963,CENTRIUM SQUARE,320 Serangoon Road #09 -05,57,Strata,1533300,26900,20-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.855128248182,1.31089355522205
1964,CENTRIUM SQUARE,320 Serangoon Road #14 -05,57,Strata,1607800,28207,20-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.82921413868,1.30697796554332
1965,CENTRIUM SQUARE,320 Serangoon Road #14 -04,80,Strata,2233500,27919,20-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.757451263299,1.31641321892514
1966,ORCHARD TOWERS,400 Orchard Road #04 -18,24,Strata,810000,33750,19-Apr-16,Retail,Resale,9,23,238875,Central Region,Orchard,99999,,103.855128248182,1.31089355522205
1967,NEWEST,1 West Coast Drive #01 -06,63,Strata,1958000,31079,19-Apr-16,Retail,New Sale,5,12,128020,West Region,Clementi,2884,,103.855128248182,1.31089355522205
1968,CENTRIUM SQUARE,320 Serangoon Road #11 -06,57,Strata,1563400,27428,18-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,103.744574631833,1.33015172071474
1969,CENTRIUM SQUARE,320 Serangoon Road #12 -01,92,Strata,2446000,26587,18-Apr-16,Office,New Sale,8,21,218108,Central Region,Kallang,99999,,-1,-1
1970,VISION EXCHANGE,2 Venture Drive #16 -13,78,Strata,1950000,25000,18-Apr-16,Office,New Sale,22,60,608526,West Region,Jurong East,2112,,103.875314006629,1.38718725573372
1971,UNION BUILDING,171 Tras Street #08 -171,59,Strata,1198000,20305,18-Apr-16,Office,Resale,2,7,79025,Central Region,Downtown Core,99999,,-1,-1
1972,INTERNATIONAL PLAZA,10 Anson Road #16 -12,44,Strata,950000,21591,15-Apr-16,Office,Resale,2,7,79903,Central Region,Downtown Core,2069,,103.853037816787,1.30302427590084
1973,OXLEY TOWER,138 Robinson Road #15 -02,113,Strata,3842600,34005,15-Apr-16,Office,Sub Sale,1,6,68906,Central Region,Downtown Core,99999,,-1,-1
1974,SIM LIM SQUARE,1 Rochor Canal Road #05 -07,38,Strata,1420000,37368,14-Apr-16,Retail,Resale,7,18,188504,Central Region,Rochor,2082,,103.833961913093,1.30450609984441
1975,MERCHANTS BUILDING,76 South Bridge Road #06 -00,75,Strata,960000,12800,14-Apr-16,Office,Resale,1,5,58706,Central Region,Singapore River,99999,,103.864297958594,1.30603656312735
1976,LUCKY PLAZA,304 Orchard Road #03 -27,51,Strata,2800000,54902,14-Apr-16,Retail,Resale,9,23,238863,Central Region,Orchard,99999,,-1,-1
1977,SOUTHBANK,883 North Bridge Road #03 -03,49,Strata,850000,17347,14-Apr-16,Office,Resale,7,19,198785,Central Region,Kallang,2105,,103.893472115119,1.31478689719772
1978,BLAIR PLAIN CONSERVATION AREA,26A Everton Road,139,Land,4300000,30935,13-Apr-16,Shop House,Resale,2,8,89381,Central Region,Bukit Merah,99999,,103.855128248182,1.31089355522205
1979,CITY PLAZA,810 Geylang Road #03 -21,23,Strata,800000,34783,13-Apr-16,Retail,Resale,14,40,409286,Central Region,Geylang,99999,,-1,-1
