,Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Contract Date,Property Type,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Land Lease Expiry,Normalized Price,longitude,latitude
3111,CITY GATE,371 Beach Road #01 -41,40,Strata,1880250,47006,11-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3112,CITY GATE,371 Beach Road #01 -22,31,Strata,1728000,55742,11-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.853037816787,1.30302427590084
3113,CITY GATE,371 Beach Road #02 -38,30,Strata,1088250,36275,11-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3114,SIM LIM SQUARE,1 Rochor Canal Road #06 -55,33,Strata,1530000,46364,11-Aug-14,Retail,Resale,7,18,188504,Central Region,Rochor,2082,,103.862331661034,1.30231590504577
3115,CITY GATE,371 Beach Road #02 -59,38,Strata,1468500,38645,11-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.879294500005,1.33177054479921
3116,CITY GATE,371 Beach Road #B1 -73,38,Strata,1398000,36789,11-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3117,MACPHERSON MALL,401 Macpherson Road #02 -20,52,Strata,2795000,53750,11-Aug-14,Retail,New Sale,13,36,368125,Central Region,Toa Payoh,99999,,103.862331661034,1.30231590504577
3118,CITY GATE,371 Beach Road #02 -20,35,Strata,1738500,49671,11-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3119,CITY GATE,371 Beach Road #02 -01,53,Strata,2780250,52458,11-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3120,CITY GATE,371 Beach Road #B1 -76,39,Strata,1248000,32000,11-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
3121,CITY GATE,371 Beach Road #01 -02,75,Strata,4599900,61332,8-Aug-14,Retail,New Sale,7,19,199597,Central Region,Kallang,2113,,103.862331661034,1.30231590504577
