Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
CONCORDE SHOPPING CENTRE,317 Outram Road #02 -22,32,Strata,488000,15250,1417,31-Jan-19,Retail,99 Yrs From 16/06/1980,Resale,3,16,169075,Central Region,Bukit Merah
N.A.,"246P,246Q Upper Thomson Road",158,Land,5850000,37002,3438,30-Jan-19,Shop House,Freehold,Resale,20,57,574370,Central Region,Bishan
PAYA LEBAR SQUARE,60 Paya Lebar Road #11 -27,81,Strata,1674240,20670,1920,30-Jan-19,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
HIGH STREET PLAZA,77 High Street #04 -12,37,Strata,895000,24189,2247,30-Jan-19,Office,999 Yrs From 11/06/1827,Resale,6,17,179433,Central Region,Downtown Core
SELEGIE CENTRE,189 Selegie Road #B1 -05,38,Strata,1220000,32105,2983,30-Jan-19,Retail,Freehold,Resale,7,18,188332,Central Region,Rochor
CITY GATE,371 Beach Road #B1 -14,44,Strata,1656000,37636,3497,30-Jan-19,Retail,99 Yrs From 15/04/2014,Resale,7,19,199597,Central Region,Kallang
N.A.,806 Upper Serangoon Road,166,Land,1380000,8308,772,28-Jan-19,Shop House,Freehold,Resale,19,53,534674,North East Region,Hougang
SELEGIE CENTRE,"189 Selegie Road #01 -06,07",89,Strata,4100000,46067,4280,25-Jan-19,Retail,Freehold,Resale,7,18,188332,Central Region,Rochor
N.A.,"45,45A Macpherson Road",963,Land,11000000,11429,1062,25-Jan-19,Office,99 Yrs From 01/11/1983,Resale,13,34,348469,Central Region,Toa Payoh
TELOK AYER CONSERVATION AREA,87 Club Street,185,Land,17200000,93074,8647,25-Jan-19,Shop House,999 Yrs From 01/10/1827,Resale,1,6,69455,Central Region,Outram
N.A.,130 Race Course Road,223,Land,6100000,27416,2547,21-Jan-19,Shop House,Freehold,Resale,8,21,218587,Central Region,Rochor
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit #01 -K33,14,Strata,680000,48571,4512,18-Jan-19,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
KAMPONG GLAM CONSERVATION AREA,68 Arab Street,110,Land,5230000,47416,4405,17-Jan-19,Shop House,Freehold,Resale,7,19,199765,Central Region,Rochor
INTERNATIONAL PLAZA,10 Anson Road #18 -10,43,Strata,998000,23209,2156,17-Jan-19,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
TONG ENG BUILDING,101 Cecil Street #13 -04,43,Strata,1155000,26860,2495,15-Jan-19,Office,999 Yrs From 08/06/1885,Resale,1,6,69533,Central Region,Downtown Core
