Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
INTERNATIONAL PLAZA,10 Anson Road #30 -18,15,Strata,322920,21528,2000,27-Nov-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
GRANDLINK SQUARE,511 Guillemard Road #01 -59,18,Strata,735000,40833,3794,26-Nov-18,Retail,Freehold,Resale,14,39,399849,Central Region,Geylang
N.A.,"457,459,461,461A Balestier Road",440,Land,9500000,21591,2006,26-Nov-18,Shop House,Freehold,Resale,12,32,329835,Central Region,Novena
SIM LIM TOWER,10 Jalan Besar #12 -04,78,Strata,1596000,20462,1901,26-Nov-18,Office,Freehold,Resale,8,20,208787,Central Region,Rochor
TANGLIN SHOPPING CENTRE,19 Tanglin Road #06 -54,32,Strata,942000,29438,2735,23-Nov-18,Office,Freehold,Resale,10,24,247909,Central Region,Orchard
SHENTON HOUSE,3 Shenton Way #03 -07,106,Strata,1680000,15849,1472,23-Nov-18,Office,99 Yrs From 02/06/1969,Resale,1,6,68805,Central Region,Downtown Core
BOAT QUAY CONSERVATION AREA,63 Boat Quay,90,Land,10900000,121516,11289,23-Nov-18,Shop House,999 Yrs From 28/06/1826,Resale,1,4,49851,Central Region,Singapore River
GOLDEN WALL CENTRE,"89 ENBLOC Short Street #01 -01,04,05 ETC",2252,Land,276200000,122652,11395,23-Nov-18,Office,Freehold,Resale,7,18,188216,Central Region,Rochor
HIGH STREET CENTRE,1 North Bridge Road #01 -37,49,Strata,900000,18367,1706,21-Nov-18,Retail,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
THE FLOW,66 East Coast Road #05 -15,72,Strata,1947000,27042,2512,21-Nov-18,Retail,Freehold,Resale,15,42,428778,Central Region,Marine Parade
PENINSULA PLAZA,"111 North Bridge Road #13 -01,02",276,Strata,5940000,21522,1999,19-Nov-18,Office,999 Yrs From 29/10/1829,Resale,6,17,179098,Central Region,Downtown Core
THE CENTRAL,12 Eu Tong Sen Street #07 -167,59,Strata,1580000,26780,2488,19-Nov-18,Office,99 Yrs From 02/01/2001,Resale,1,5,59819,Central Region,Singapore River
N.A.,31 Keong Saik Road,137,Land,14000000,101892,9466,16-Nov-18,Shop House,Freehold,Resale,2,8,89138,Central Region,Outram
PAYA LEBAR SQUARE,60 Paya Lebar Road #09 -21,45,Strata,968000,21511,1998,16-Nov-18,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
GRANDLINK SQUARE,511 Guillemard Road #01 -21,12,Strata,420000,35000,3252,15-Nov-18,Retail,Freehold,Resale,14,39,399849,Central Region,Geylang
THOMSON V TWO,11 Sin Ming Road #01 -09,5,Strata,260000,52000,4831,14-Nov-18,Retail,Freehold,Resale,20,57,575629,Central Region,Bishan
GOLDHILL PLAZA,1 Goldhill Plaza #02 -17,110,Strata,2040000,18545,1723,14-Nov-18,Retail,999 Yrs From 14/06/1972,Resale,11,30,308899,Central Region,Novena
HEETON PARK,3 Thong Soon Avenue,125,Strata,3000000,24000,2230,14-Nov-18,Retail,Freehold,Resale,26,78,787432,North Region,Yishun
SOUTHBANK,883 North Bridge Road #05 -01,64,Strata,1050000,16406,1524,13-Nov-18,Office,99 Yrs From 27/01/2006,Resale,7,19,198785,Central Region,Kallang
FORTUNE CENTRE,190 Middle Road #18 -02,100,Strata,1540000,15400,1431,13-Nov-18,Office,99 Yrs From 18/10/1980,Resale,7,18,188979,Central Region,Rochor
BUKIT TIMAH SHOPPING CENTRE,170 Upper Bukit Timah Road #03 -67,17,Strata,410000,24118,2241,13-Nov-18,Retail,999 Yrs From 17/12/1883,Resale,21,58,588179,Central Region,Bukit Timah
PAYA LEBAR SQUARE,60 Paya Lebar Road #13 -39,48,Strata,1010000,21042,1955,12-Nov-18,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
THE PLAZA,7500A Beach Road #10 -305,40,Strata,485000,12125,1126,12-Nov-18,Office,99 Yrs From 03/09/1968,Resale,7,19,199591,Central Region,Kallang
THE GOLDEN LANDMARK,390 Victoria Street #01 -42,35,Strata,690000,19714,1832,12-Nov-18,Retail,99 Yrs From 30/04/1981,Resale,7,18,188061,Central Region,Rochor
PENINSULA PLAZA,111 North Bridge Road #05 -61,37,Strata,850000,22973,2134,9-Nov-18,Retail,999 Yrs From 29/10/1829,Resale,6,17,179098,Central Region,Downtown Core
PENINSULA PLAZA,111 North Bridge Road #02 -46,47,Strata,1265000,26915,2500,8-Nov-18,Office,999 Yrs From 29/10/1829,Resale,6,17,179098,Central Region,Downtown Core
TANJONG PAGAR CONSERVATION AREA,"33,35,37 Tras Street",413,Land,21200000,51282,4764,8-Nov-18,Shop House,99 Yrs From 08/04/1994,Resale,2,7,78973,Central Region,Outram
ORCHARD TOWERS,400 Orchard Road #06 -14,42,Strata,888000,21143,1964,8-Nov-18,Office,Freehold,Resale,9,23,238875,Central Region,Orchard
HILLVIEW REGENCY,26 Bukit Batok East Avenue 2 #02 -03,13,Strata,360000,27692,2573,7-Nov-18,Retail,99 Yrs From 20/06/2000,Resale,23,65,659920,West Region,Bukit Batok
THE OCTAGON,105 Cecil Street #06 -01,357,Strata,9415350,26374,2450,7-Nov-18,Office,Freehold,Resale,1,6,69534,Central Region,Downtown Core
KATONG PLAZA,1 Brooke Road #01 -14,23,Strata,700000,30435,2827,7-Nov-18,Retail,9999 Yrs From 01/01/1980,Resale,15,42,429979,Central Region,Marine Parade
BOAT QUAY CONSERVATION AREA,"60,60A,60B Boat Quay",90,Land,8500000,94866,8813,7-Nov-18,Shop House,999 Yrs From 28/06/1826,Resale,1,4,49848,Central Region,Singapore River
ONE-NORTH RESIDENCES,7 One-North Gateway #01 -16,52,Strata,1068000,20538,1908,7-Nov-18,Retail,99 Yrs From 15/09/2005,Resale,5,13,138642,Central Region,Queenstown
JALAN BESAR PLAZA,101 Kitchener Road #03 -12,107,Strata,1500000,14019,1302,7-Nov-18,Office,Freehold,Resale,8,20,208511,Central Region,Kallang
N.A.,"435,435A Sembawang Road",207,Land,3900000,18813,1748,7-Nov-18,Shop House,Freehold,Resale,27,75,758398,North Region,Mandai
THE PLAZA,7500A Beach Road #10 -304,37,Strata,450000,12162,1130,5-Nov-18,Office,99 Yrs From 03/09/1968,Resale,7,19,199591,Central Region,Kallang
PENINSULA PLAZA,111 North Bridge Road #10 -03,110,Strata,2397600,21796,2025,2-Nov-18,Office,999 Yrs From 29/10/1829,Resale,6,17,179098,Central Region,Downtown Core
PAYA LEBAR SQUARE,60 Paya Lebar Road #09 -10,50,Strata,1000000,20000,1858,2-Nov-18,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
ORCHARD PLAZA,150 Orchard Road #04 -47,18,Strata,421000,23389,2173,1-Nov-18,Office,99 Yrs From 02/06/1977,Resale,9,23,238841,Central Region,Orchard
N.A.,802 Upper Serangoon Road,167,Land,1250000,7490,696,1-Nov-18,Retail,Freehold,Resale,19,53,534672,North East Region,Hougang
SOUTHBANK,883 North Bridge Road #04 -05,85,Strata,1460000,17176,1596,1-Nov-18,Office,99 Yrs From 27/01/2006,Resale,7,19,198785,Central Region,Kallang
CITY PLAZA,810 Geylang Road #01 -33,17,Strata,680000,40000,3716,30-Oct-18,Office,Freehold,Resale,14,40,409286,Central Region,Geylang
N.A.,8 Greenwood Avenue,129,Strata,4180000,32403,3010,30-Oct-18,Retail,Freehold,Resale,11,28,289198,Central Region,Bukit Timah
WOODS SQUARE,12 Woodlands Square #02 -81,52,Strata,1052923,20249,1881,30-Oct-18,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
CROWN CENTRE,557 Bukit Timah Road #02 -19,41,Strata,1415000,34512,3206,30-Oct-18,Retail,Freehold,Resale,10,26,269694,Central Region,Bukit Timah
BLAIR PLAIN CONSERVATION AREA,27 Kampong Bahru Road,84,Land,4380000,52392,4867,30-Oct-18,Shop House,Freehold,Resale,3,16,169351,Central Region,Bukit Merah
CT HUB 2,114 Lavender Street #01 -01,23,Strata,545600,23722,2204,30-Oct-18,Retail,63 Yrs From 12/01/2012,Resale,12,33,338729,Central Region,Kallang
SERANGOON GARDEN ESTATE,"3,3A Kensington Park Road",139,Land,5650000,40560,3768,30-Oct-18,Shop House,999 Yrs From 01/01/1959,Resale,19,55,557255,North East Region,Serangoon
THE PLAZA,7500A Beach Road #10 -303,49,Strata,590000,12041,1119,30-Oct-18,Office,99 Yrs From 03/09/1968,Resale,7,19,199591,Central Region,Kallang
BLAIR PLAIN CONSERVATION AREA,29 Kampong Bahru Road,86,Land,4300000,50058,4651,30-Oct-18,Shop House,Freehold,Resale,3,16,169352,Central Region,Bukit Merah
SUNTEC CITY,7 Temasek Boulevard #19 -02,198,Strata,5125000,25884,2405,29-Oct-18,Office,99 Yrs From 01/03/1989,Resale,1,3,38987,Central Region,Downtown Core
N.A.,"372,372A,372B,372C Geylang Road",134,Land,7000000,52083,4839,29-Oct-18,Shop House,Freehold,Resale,14,38,389383,Central Region,Geylang
INTERNATIONAL PLAZA,10 Anson Road #23 -12,87,Strata,1660000,19080,1773,29-Oct-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
VISION EXCHANGE,2 Venture Drive #12 -11,71,Strata,1750000,24648,2290,29-Oct-18,Office,99 Yrs From 10/06/2013,Resale,22,60,608526,West Region,Jurong East
PAYA LEBAR SQUARE,60 Paya Lebar Road #05 -34,47,Strata,970000,20638,1917,26-Oct-18,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
GRANDLINK SQUARE,511 Guillemard Road #01 -26A,18,Strata,660000,36667,3406,26-Oct-18,Retail,Freehold,Resale,14,39,399849,Central Region,Geylang
TAI PENG GARDENS,"1012,1012A,1012B Upper Serangoon Road",216,Land,7500000,34658,3220,26-Oct-18,Shop House,Freehold,Resale,19,53,534750,North East Region,Hougang
SOHO LIFE,216 Joo Chiat Road #01 -16,33,Strata,868888,26330,2446,25-Oct-18,Retail,Freehold,Resale,15,42,427483,Central Region,Geylang
MIDPOINT ORCHARD,220 Orchard Road #01 -03,28,Strata,1500000,53571,4977,25-Oct-18,Retail,Freehold,Resale,9,23,238852,Central Region,Orchard
N.A.,"3,3A Jalan Pinang",270,Strata,7500000,27778,2581,25-Oct-18,Shop House,Freehold,Resale,7,19,199135,Central Region,Rochor
INTERNATIONAL PLAZA,"10 Anson Road #23 -01,01A",87,Strata,1740000,20000,1858,25-Oct-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
WOODS SQUARE,12 Woodlands Square #04 -87,52,Strata,1111315,21371,1985,23-Oct-18,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
SAMSUNG HUB,3 Church Street #12 -02,291,Strata,10805400,37132,3450,23-Oct-18,Office,999 Yrs From 25/01/1827,Resale,1,4,49483,Central Region,Downtown Core
FAR EAST PLAZA,14 Scotts Road #02 -97,24,Strata,1320000,55000,5110,23-Oct-18,Retail,Freehold,Resale,9,22,228213,Central Region,Orchard
N.A.,"138,140 Joo Chiat Road",276,Land,6288000,22824,2120,23-Oct-18,Shop House,Freehold,Resale,15,42,427420,Central Region,Geylang
SIM LIM SQUARE,1 Rochor Canal Road #02 -08,38,Strata,1080000,28421,2640,22-Oct-18,Retail,99 Yrs From 08/04/1983,Resale,7,18,188504,Central Region,Rochor
THE MODULES,387 Joo Chiat Road #01 -01,50,Strata,753000,15060,1399,22-Oct-18,Office,Freehold,Resale,15,42,427623,Central Region,Marine Parade
WOODS SQUARE,12 Woodlands Square #05 -64,52,Strata,1105209,21254,1975,22-Oct-18,Office,99 Yrs From 15/07/2014,New Sale,25,73,737715,North Region,Woodlands
N.A.,36 Armenian Street #04 -08,141,Strata,2800000,19858,1845,19-Oct-18,Office,99 Yrs From 21/09/2007,Resale,6,17,179934,Central Region,Museum
TANJONG PAGAR CONSERVATION AREA,"40,41 Duxton Hill",236,Land,24800000,105129,9767,19-Oct-18,Shop House,99 Yrs From 22/09/1988,Resale,2,8,89618,Central Region,Outram
PAYA LEBAR SQUARE,"60 Paya Lebar Road #08 -32,33,34",188,Strata,4351600,23147,2150,17-Oct-18,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
D~LEEDON,19 Leedon Heights #01 -65,127,Strata,2100000,16535,1536,16-Oct-18,Retail,99 Yrs From 08/04/2010,Resale,10,26,266227,Central Region,Bukit Timah
INTERNATIONAL PLAZA,10 Anson Road #16 -19,44,Strata,900000,20455,1900,16-Oct-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
UNION BUILDING,171 Tras Street #10 -179,185,Strata,3450000,18649,1733,16-Oct-18,Office,Freehold,Resale,2,7,79025,Central Region,Downtown Core
TELOK AYER CONSERVATION AREA,10 Stanley Street,133,Land,12500000,94340,8764,16-Oct-18,Shop House,Freehold,Resale,1,6,68729,Central Region,Outram
HIGH STREET PLAZA,"77 High Street #03 -13,14",84,Strata,1880320,22385,2080,15-Oct-18,Office,999 Yrs From 11/06/1827,Resale,6,17,179433,Central Region,Downtown Core
N.A.,20 Beatty Road,180,Strata,2600000,14444,1342,15-Oct-18,Retail,Freehold,Resale,8,20,209947,Central Region,Kallang
CENTRIUM SQUARE,320 Serangoon Road #11 -13,94,Strata,2527100,26884,2498,12-Oct-18,Office,Freehold,New Sale,8,21,218108,Central Region,Kallang
N.A.,246 Serangoon Road,78,Land,6800000,87291,8110,12-Oct-18,Shop House,Freehold,Resale,8,21,218089,Central Region,Rochor
OUE DOWNTOWN 1 & 2,6 Shenton Way #07 -08ETC,63066,Strata,908000000,14398,1338,12-Oct-18,Office,99 Yrs From 19/07/1967,Resale,1,6,68809,Central Region,Downtown Core
PAYA LEBAR SQUARE,60 Paya Lebar Road #04 -17,126,Strata,2490000,19762,1836,11-Oct-18,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
THE OCTAGON,105 Cecil Street #05 -00,213,Strata,5617850,26375,2450,10-Oct-18,Office,Freehold,Resale,1,6,69534,Central Region,Downtown Core
PENINSULA PLAZA,"111 North Bridge Road #07 -05,06",58,Strata,1248000,21517,1999,9-Oct-18,Office,999 Yrs From 29/10/1829,Resale,6,17,179098,Central Region,Downtown Core
INTERNATIONAL PLAZA,10 Anson Road #32 -18,15,Strata,448000,29867,2775,9-Oct-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
HAVELOCK2,2 Havelock Road #04 -10,57,Strata,1240000,21754,2021,8-Oct-18,Office,99 Yrs From 04/05/1983,Resale,1,5,59763,Central Region,Singapore River
N.A.,"28,28A,28B,28C Hongkong Street",168,Land,9000000,53571,4977,8-Oct-18,Shop House,99 Yrs From 01/01/1951,Resale,1,5,59667,Central Region,Singapore River
FORTUNE CENTRE,190 Middle Road #10 -06,156,Strata,2330000,14936,1388,8-Oct-18,Office,99 Yrs From 18/10/1980,Resale,7,18,188979,Central Region,Rochor
PARKLANE SHOPPING MALL,35 Selegie Road #04 -03,42,Strata,610000,14524,1349,8-Oct-18,Retail,99 Yrs From 01/12/1974,Resale,7,18,188307,Central Region,Rochor
BUGIS CUBE,470 North Bridge Road #02 -01A,17,Strata,1170000,68824,6394,8-Oct-18,Retail,999 Yrs From 25/01/1827,Resale,7,18,188735,Central Region,Downtown Core
N.A.,22 Ann Siang Road,145,Land,15000000,103377,9604,5-Oct-18,Shop House,999 Yrs From 01/10/1827,Resale,1,6,69702,Central Region,Outram
KAP,"9 King Albert Park #01 -42,43",87,Strata,4450000,51149,4752,5-Oct-18,Retail,Freehold,Resale,21,59,598332,Central Region,Bukit Timah
KAMPONG GLAM CONSERVATION AREA,136 Arab Street,79,Land,3300000,41719,3876,5-Oct-18,Shop House,Freehold,Resale,7,19,199825,Central Region,Rochor
LITTLE INDIA CONSERVATION AREA,93 Serangoon Road,109,Land,6180000,56906,5287,4-Oct-18,Shop House,99 Yrs From 06/03/1995,Resale,8,21,217998,Central Region,Rochor
INTERNATIONAL PLAZA,10 Anson Road #21 -10A,44,Strata,1000000,22727,2111,4-Oct-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
N.A.,160 Robinson Road #20 -07,55,Strata,1894000,34436,3199,4-Oct-18,Office,99 Yrs From 21/12/2011,Resale,1,6,68914,Central Region,Downtown Core
GOLDHILL PLAZA,1 Goldhill Plaza #02 -33,113,Strata,2300000,20354,1891,3-Oct-18,Office,Freehold,Resale,11,30,308899,Central Region,Novena
BOAT QUAY CONSERVATION AREA,14 Circular Road,100,Land,8800000,87824,8159,3-Oct-18,Shop House,999 Yrs From 28/06/1826,Resale,1,4,49370,Central Region,Singapore River
EASTGATE,"46 East Coast Road #09 -03,04",194,Strata,3153166,16253,1510,2-Oct-18,Retail,Freehold,Resale,15,42,428766,Central Region,Marine Parade
THE PLAZA,7500A Beach Road #01 -339,27,Strata,650000,24074,2237,1-Oct-18,Retail,99 Yrs From 03/09/1968,Resale,7,19,199591,Central Region,Kallang
KAMPONG GLAM CONSERVATION AREA,78 Arab Street,116,Land,6400000,55030,5112,28-Sep-18,Shop House,Freehold,Resale,7,19,199775,Central Region,Rochor
INTERNATIONAL PLAZA,10 Anson Road #23 -11,87,Strata,1660000,19080,1773,28-Sep-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
INTERNATIONAL PLAZA,10 Anson Road #16 -05,43,Strata,900000,20930,1944,28-Sep-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
THE ARIZON,538 Geylang Road #02 -16,117,Strata,1100000,9402,873,28-Sep-18,Office,Freehold,Resale,14,38,389493,Central Region,Geylang
SINGAPORE SHOPPING CENTRE,"190 Clemenceau Avenue #02 -01, 02,03,11 ETC",656,Strata,10000000,15244,1416,27-Sep-18,Office,99 Yrs From 01/05/1948,Resale,9,23,239924,Central Region,Museum
N.A.,"27,27A Eng Kong Terrace",142,Land,2600000,18336,1703,26-Sep-18,Shop House,Freehold,Resale,21,59,598999,Central Region,Bukit Timah
SIM LIM SQUARE,1 Rochor Canal Road #04 -02G,37,Strata,1480000,40000,3716,25-Sep-18,Retail,103 Yrs From 30/12/1982,Resale,7,18,188504,Central Region,Rochor
MACPHERSON MALL,"401 Macpherson Road #03 -20A, 21",71,Strata,1989000,28014,2603,25-Sep-18,Retail,Freehold,Resale,13,36,368125,Central Region,Toa Payoh
N.A.,"1090,1090A Serangoon Road",130,Land,830000,6380,593,25-Sep-18,Shop House,99 Yrs From 22/07/1949,Resale,12,32,328189,Central Region,Kallang
HIGH STREET CENTRE,1 North Bridge Road #02 -15,38,Strata,638000,16789,1560,24-Sep-18,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
HIGH STREET PLAZA,77 High Street #01 -10,28,Strata,602778,21528,2000,24-Sep-18,Office,999 Yrs From 11/06/1827,Resale,6,17,179433,Central Region,Downtown Core
ORCHARD TOWERS,400 Orchard Road #06 -02,30,Strata,700000,23333,2168,24-Sep-18,Office,Freehold,Resale,9,23,238875,Central Region,Orchard
FORTUNE CENTRE,190 Middle Road #13 -01,206,Strata,3166000,15369,1428,24-Sep-18,Office,99 Yrs From 18/10/1980,Resale,7,18,188979,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road #01 -58,19,Strata,429000,22579,2098,21-Sep-18,Retail,99 Yrs From 09/06/1969,Resale,7,19,199589,Central Region,Kallang
THE CENTRAL,"8 Eu Tong Sen Street #12 -96,97",220,Strata,6600000,30000,2787,21-Sep-18,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
N.A.,21 Boon Tat Street,163,Land,16500000,100979,9381,20-Sep-18,Shop House,999 Yrs From 01/11/1884,Resale,1,6,69620,Central Region,Outram
TANJONG PAGAR CONSERVATION AREA,22 Tanjong Pagar Road,155,Land,7280000,47059,4372,18-Sep-18,Shop House,99 Yrs From 31/03/2000,Resale,2,8,88445,Central Region,Outram
TRIO,11 Sam Leong Road #03 -08,98,Strata,2740259,27962,2598,18-Sep-18,Retail,Freehold,New Sale,8,20,207903,Central Region,Kallang
SBF CENTER,160 Robinson Road #20 -03,70,Strata,2330000,33286,3092,18-Sep-18,Office,99 Yrs From 21/12/2011,Resale,1,6,68914,Central Region,Downtown Core
N.A.,271A Changi Road,99,Land,990000,10020,931,18-Sep-18,Shop House,Freehold,Resale,14,41,419753,East Region,Bedok
N.A.,271 Changi Road,43,Land,2190000,51049,4743,18-Sep-18,Shop House,Freehold,Resale,14,41,419753,East Region,Bedok
FOOK HAI BUILDING,150 South Bridge Road #01 -17,60,Strata,2500000,41667,3871,18-Sep-18,Retail,99 Yrs From 18/01/1972,Resale,1,5,58727,Central Region,Outram
THE ARIZON,538 Geylang Road #02 -14,107,Strata,1200000,11215,1042,18-Sep-18,Office,Freehold,Resale,14,38,389493,Central Region,Geylang
TANJONG PAGAR CONSERVATION AREA,42 Craig Road,145,Land,6180000,42709,3968,18-Sep-18,Shop House,99 Yrs From 28/07/1989,Resale,2,8,89680,Central Region,Outram
KATONG SHOPPING CENTRE,865 Mountbatten Road #01 -29,28,Strata,850000,30357,2820,18-Sep-18,Retail,Freehold,Resale,15,43,437844,Central Region,Marine Parade
UNION BUILDING,171 Tras Street #09 -177,36,Strata,785700,21825,2028,17-Sep-18,Office,Freehold,Resale,2,7,79025,Central Region,Downtown Core
N.A.,"142,144,146,148 Joo Chiat Road",697,Land,15000000,21518,1999,17-Sep-18,Shop House,Freehold,Resale,15,42,427422,Central Region,Geylang
KAP,9 King Albert Park #01 -44,46,Strata,2000000,43478,4039,14-Sep-18,Retail,Freehold,Resale,21,59,598332,Central Region,Bukit Timah
INTERNATIONAL PLAZA,10 Anson Road #15 -20,135,Strata,2688000,19911,1850,14-Sep-18,Office,99 Yrs From 02/06/1970,Resale,2,7,79903,Central Region,Downtown Core
SUNTEC CITY,"7 Temasek Boulevard #10 -01,02,03",1336,Strata,29479000,22065,2050,14-Sep-18,Office,99 Yrs From 01/03/1989,Resale,1,3,38987,Central Region,Downtown Core
THE CENTRAL,6 Eu Tong Sen Street #10 -12,59,Strata,1560000,26441,2456,13-Sep-18,Office,99 Yrs From 02/01/2001,Resale,1,5,59817,Central Region,Singapore River
THE CENTRAL,8 Eu Tong Sen Street #18 -86,60,Strata,1555000,25917,2408,13-Sep-18,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
SUNSHINE PLAZA,91 Bencoolen Street #06 -01,50,Strata,1030270,20605,1914,11-Sep-18,Retail,99 Yrs From 19/03/1997,Resale,7,18,189652,Central Region,Rochor
STARS OF KOVAN,988 Upper Serangoon Road #01 -28,39,Strata,1980740,50788,4718,11-Sep-18,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
GB BUILDING,"143 Cecil Street #09 -01,02,03,04",484,Strata,9117500,18838,1750,11-Sep-18,Office,99 Yrs From 12/10/1982,Resale,1,6,69542,Central Region,Downtown Core
PEOPLE~S PARK CENTRE,101A Upper Cross Street #13 -15,78,Strata,1250000,16026,1489,10-Sep-18,Office,99 Yrs From 02/06/1970,Resale,1,5,58358,Central Region,Outram
FORTUNE CENTRE,190 Middle Road #04 -23,38,Strata,800000,21053,1956,10-Sep-18,Retail,99 Yrs From 18/10/1980,Resale,7,18,188979,Central Region,Rochor
N.A.,27 Lorong 13 Geylang,133,Strata,2200000,16541,1537,10-Sep-18,Shop House,Freehold,Resale,14,38,388670,Central Region,Geylang
THE ARIZON,538 Geylang Road #02 -09,107,Strata,1200000,11215,1042,10-Sep-18,Office,Freehold,Resale,14,38,389493,Central Region,Geylang
GOLDEN MILE TOWER,6001 Beach Road #B1 -62,35,Strata,580000,16571,1540,10-Sep-18,Retail,99 Yrs From 09/06/1969,Resale,7,19,199589,Central Region,Kallang
TONG ENG BUILDING,101 Cecil Street #12 -05,75,Strata,2018888,26919,2501,7-Sep-18,Office,999 Yrs From 08/06/1885,Resale,1,6,69533,Central Region,Downtown Core
TONG ENG BUILDING,101 Cecil Street #12 -04,43,Strata,1158888,26951,2504,7-Sep-18,Office,999 Yrs From 08/06/1885,Resale,1,6,69533,Central Region,Downtown Core
CITY GATE,371 Beach Road #02 -23,40,Strata,1751200,43780,4067,7-Sep-18,Retail,99 Yrs From 15/04/2014,New Sale,7,19,199597,Central Region,Kallang
DESKER ROAD CONSERVATION AREA,96 Desker Road,111,Land,2500000,22604,2100,6-Sep-18,Shop House,Freehold,Resale,8,20,209618,Central Region,Rochor
FAR EAST SHOPPING CENTRE,545 Orchard Road #02 -03,41,Strata,1650000,40244,3739,6-Sep-18,Retail,999 Yrs From 30/10/1871,Resale,9,23,238882,Central Region,Orchard
SIM LIM TOWER,10 Jalan Besar #03 -12,43,Strata,1038000,24140,2243,5-Sep-18,Retail,Freehold,Resale,8,20,208787,Central Region,Rochor
BYLANDS BUILDING,135 Middle Road #04 -10,25,Strata,460000,18400,1709,5-Sep-18,Office,99 Yrs From 02/05/1978,Resale,7,18,188975,Central Region,Rochor
THE ARCADE,11 Collyer Quay #01 -20,16,Strata,2600000,162500,15097,4-Sep-18,Retail,99 Yrs From 01/10/1979,Resale,1,4,49317,Central Region,Downtown Core
ROXY SQUARE,50 East Coast Road #01 -53,27,Strata,739000,27370,2543,4-Sep-18,Retail,9999 Yrs From 01/01/1980,Resale,15,42,428769,Central Region,Marine Parade
ONE-NORTH RESIDENCES,9 One-North Gateway #01 -48,34,Strata,838000,24647,2290,4-Sep-18,Retail,99 Yrs From 15/09/2005,Resale,5,13,138643,Central Region,Queenstown
